gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,Yes,No,Yes,53,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),32.95,2965.99,Yes
Female,No,Yes,No,21,Yes,No,No,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),63.95,7077.33,Yes
Male,No,Yes,No,6,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,91.03,8923.93,Yes
Male,No,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,60.13,9095.54,Yes
Male,Yes,Yes,No,21,No,No phone service,No,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),66.62,9699.55,No
Female,Yes,Yes,No,27,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,49.61,3831.18,No
Female,Yes,Yes,Yes,2,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),100.14,1521.81,Yes
Female,Yes,No,No,63,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,83.82,8034.49,No
Female,No,No,Yes,68,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),41.42,2443.56,No
Female,Yes,No,No,54,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,73.87,8126.1,Yes
Male,No,Yes,Yes,5,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,46.72,2863.12,No
Male,No,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),86.16,624.7,Yes
Female,No,No,No,63,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,77.47,943.98,No
Male,No,No,No,55,Yes,No phone service,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),20.09,2880.57,No
Female,Yes,Yes,No,69,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,No,Electronic check,77.7,2001.71,Yes
Male,Yes,No,No,31,No,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,53.52,3438.46,No
Female,No,No,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),90.42,375.63,No
Male,Yes,No,Yes,13,Yes,No,No,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,75.54,6755.18,Yes
Female,Yes,Yes,Yes,43,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,88.32,4828.82,No
Male,No,No,No,45,No,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,59.36,8291.19,Yes
Female,Yes,Yes,Yes,43,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),109.01,1039.22,Yes
Female,Yes,No,No,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),88.38,2354.9,Yes
Female,No,Yes,No,3,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),67.4,3239.55,Yes
Male,No,Yes,No,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),104.32,8424.55,Yes
Male,No,Yes,No,23,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,108.74,112.17,No
Female,Yes,Yes,No,58,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),112.05,3891.96,No
Female,No,No,No,65,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,77.01,8879.45,No
Female,No,Yes,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),86,1312.6,Yes
Female,No,Yes,Yes,72,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,61.44,1132.19,No
Male,Yes,No,Yes,48,No,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),51.59,9902.61,Yes
Female,Yes,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,67.54,7298.08,Yes
Female,Yes,No,Yes,7,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),57.4,7065.51,Yes
Female,No,No,No,13,No,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Mailed check,119.32,1252.94,Yes
Female,No,Yes,Yes,3,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),34.52,5886.08,Yes
Female,No,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),76.14,3518.42,No
Female,No,No,Yes,42,Yes,No phone service,No,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),89.92,2101.86,Yes
Male,Yes,No,Yes,35,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,27.5,2638.13,No
Male,Yes,Yes,Yes,44,Yes,No,No,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,88.4,4459.21,No
Female,Yes,No,Yes,40,No,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),32.74,544.43,Yes
Female,No,Yes,No,48,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,57.46,3123.77,Yes
Female,Yes,Yes,No,41,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,73.34,3163.71,No
Male,Yes,No,Yes,10,No,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),117.91,6286.72,No
Male,Yes,No,No,44,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,85.57,9653.72,Yes
Male,No,No,Yes,33,No,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),105.03,1246.3,Yes
Female,No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),61.57,7448.45,No
Male,Yes,No,Yes,46,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),115.56,7149.3,Yes
Male,No,No,No,56,No,Yes,No,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),88.44,4664.4,Yes
Female,Yes,No,Yes,24,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,29.1,5384.45,No
Female,Yes,No,Yes,19,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,39.75,2374.8,Yes
Male,Yes,No,No,61,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),96.03,1902.88,No
Female,Yes,Yes,Yes,53,No,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),39.94,7577.67,No
Female,No,Yes,Yes,61,No,No phone service,No,No,Yes,No,No,No,Yes,Two year,No,Mailed check,119.83,9724.62,No
